tx_id	gene_name	1A_noDep	2A_noDep	1B_riboZero	2B_riboZero	1C_riboCop	2C_riboCop	1D_NEB	2D_NEB
ENST00000408979.2	OR2A2	0	0	0	0	0	0	0	0
ENST00000216962.8	PYGB	10	14	26	45	15	31	7	15
ENST00000274498.8	ARHGAP26	2	4	5	2	4	4	1	1
ENST00000025301.3	AKAP11	7	4	28	30	12	17	15	16
ENST00000438911.6	CYHR1	2	1	2	9	3	7	0	2
ENST00000611517.4	TMEM222	5	4	10	15	3	9	4	6
ENST00000370873.8	PSMA7	41	45	118	121	42	102	27	67
ENST00000542353.5	CLEC4C	0	0	0	0	0	0	0	0
ENST00000294489.10	PDPN	7	8	14	17	10	12	7	10
ENST00000383738.6	CSPG5	1	2	3	10	2	3	2	8
ENST00000288014.6	THTPA	0	0	2	7	2	6	0	2
ENST00000329021.9	NFAM1	0	0	0	0	0	0	0	0
ENST00000379238.5	UBAP2	9	15	25	31	18	22	9	20
ENST00000317633.13	SERF1A	1	1	2	1	2	1	1	0
ENST00000392886.6	CSH2	0	0	0	0	0	0	0	0
ENST00000261700.7	C14orf166	28	39	96	104	38	63	37	58
ENST00000377733.3	HIST1H2BI	16	21	34	45	17	39	14	10
ENST00000288532.10	COQ5	6	6	5	13	2	11	5	4
ENST00000314124.11	TMEM40	0	0	0	0	0	0	0	0
ENST00000375105.7	PLA2G2D	0	0	0	0	0	0	0	0
ENST00000023064.8	SLC7A9	0	0	0	0	0	0	0	0
ENST00000621441.4	EXOC5	10	7	27	27	11	15	9	14
ENST00000219789.10	CDIPT	7	4	19	18	9	18	9	12
ENST00000261854.9	SPPL2A	5	12	24	24	5	7	8	9
ENST00000337665.8	ARHGEF1	6	9	15	10	8	10	9	8
ENST00000367547.7	SHCBP1L	0	0	0	0	0	0	0	0
ENST00000421999.7	CMSS1	13	16	21	34	12	30	8	17
ENST00000336498.7	ARHGAP10	3	3	7	5	3	5	3	4
ENST00000413687.2	INAVA	1	1	1	2	2	1	0	0
ENST00000390666.3	TSSK1B	0	0	0	0	0	0	0	0
ENST00000291416.9	TRIM62	3	1	1	4	2	5	1	1
ENST00000641726.1	OR52E4	0	0	0	0	0	0	0	0
ENST00000395422.3	CHCHD2	69	105	229	288	122	178	96	172
ENST00000312239.9	HP1BP3	18	14	38	31	17	27	8	18
ENST00000264335.12	YWHAE	184	200	432	584	229	414	196	295
ENST00000366523.5	EFCAB2	1	0	2	1	0	1	0	1
ENST00000359644.7	ATP2C1	16	16	24	31	12	22	17	16
ENST00000309958.7	KLK10	0	0	0	0	0	0	0	0
ENST00000328449.5	C1QTNF8	0	0	0	0	0	0	0	1
ENST00000396355.5	NDE1	2	5	13	11	4	10	1	5
ENST00000334897.4	KRTAP6-2	0	0	0	0	0	0	0	0
ENST00000374987.3	APEX2	7	14	18	22	4	12	4	14
ENST00000241305.3	CPXM2	0	0	0	0	0	0	0	1
ENST00000357495.3	HNRNPA1L2	105	131	327	387	135	233	103	111
ENST00000360608.9	CYP2D6	0	0	1	0	0	1	0	0
ENST00000328434.7	COA3	6	19	28	23	14	22	14	18
ENST00000225983.10	HDAC5	1	1	5	4	3	3	6	4
ENST00000538771.5	PAFAH1B3	9	9	23	24	9	11	13	16
ENST00000313552.10	ING5	3	4	5	5	3	0	4	2
ENST00000261037.7	COL8A1	0	0	0	0	0	0	0	0
ENST00000361320.4	LRRTM3	0	0	0	0	0	0	0	0
ENST00000296388.9	P3H1	8	14	37	41	17	28	8	19
ENST00000285930.8	AKR1B1	38	45	120	150	52	85	29	61
ENST00000359798.8	ZNF808	0	0	1	2	0	0	2	0
ENST00000261296.6	TGDS	2	8	16	15	5	11	5	13
ENST00000299481.4	NLRP14	0	0	0	0	0	0	0	0
ENST00000240306.4	DLX4	0	0	0	0	0	1	0	1
