tx_id	gene_name	NEBNext_20_34	undepleted_20_34	NEBNext_20_60	undepleted_20_60
ENST00000408979.2	OR2A2	0	0	0	0
ENST00000216962.8	PYGB	13	9	8	3
ENST00000274498.8	ARHGAP26	0	0	0	0
ENST00000025301.3	AKAP11	29	11	15	7
ENST00000438911.6	CYHR1	2	3	3	2
ENST00000611517.4	TMEM222	14	8	7	2
ENST00000370873.8	PSMA7	143	54	51	14
ENST00000542353.5	CLEC4C	0	0	0	0
ENST00000294489.10	PDPN	0	0	0	0
ENST00000383738.6	CSPG5	0	1	0	0
ENST00000288014.6	THTPA	1	0	1	0
ENST00000329021.9	NFAM1	0	0	0	0
ENST00000379238.5	UBAP2	27	12	12	2
ENST00000317633.13	SERF1A	0	1	0	1
ENST00000392886.6	CSH2	0	0	0	0
ENST00000378569.2	CCL7	0	0	0	0
ENST00000261700.7	C14orf166	55	15	13	6
ENST00000377733.3	HIST1H2BI	38	24	18	14
ENST00000288532.10	COQ5	12	11	11	2
ENST00000314124.11	TMEM40	0	0	0	0
ENST00000375105.7	PLA2G2D	0	0	0	0
ENST00000023064.8	SLC7A9	0	0	0	0
ENST00000621441.4	EXOC5	12	7	3	3
ENST00000219789.10	CDIPT	1	5	2	1
ENST00000261854.9	SPPL2A	28	16	8	2
ENST00000337665.8	ARHGEF1	65	20	29	4
ENST00000367547.7	SHCBP1L	0	0	0	0
ENST00000421999.7	CMSS1	14	11	9	4
ENST00000336498.7	ARHGAP10	0	0	0	0
ENST00000413687.2	INAVA	0	0	0	0
ENST00000390666.3	TSSK1B	0	0	0	0
ENST00000291416.9	TRIM62	2	1	0	0
ENST00000641726.1	OR52E4	0	0	0	0
ENST00000395422.3	CHCHD2	502	176	177	36
ENST00000312239.9	HP1BP3	43	29	21	4
ENST00000264335.12	YWHAE	311	103	83	21
ENST00000366523.5	EFCAB2	4	4	2	0
ENST00000359644.7	ATP2C1	24	7	6	2
ENST00000309958.7	KLK10	0	0	0	0
ENST00000328449.5	C1QTNF8	0	0	0	0
ENST00000396355.5	NDE1	9	8	3	0
ENST00000334897.4	KRTAP6-2	0	0	0	0
ENST00000374987.3	APEX2	9	11	9	1
ENST00000241305.3	CPXM2	0	0	0	0
ENST00000357495.3	HNRNPA1L2	301	170	168	32
ENST00000360608.9	CYP2D6	0	0	0	0
ENST00000328434.7	COA3	9	12	10	2
ENST00000225983.10	HDAC5	7	5	5	1
ENST00000538771.5	PAFAH1B3	39	5	6	2
ENST00000313552.10	ING5	8	4	3	0
ENST00000261037.7	COL8A1	0	0	0	0
ENST00000361320.4	LRRTM3	0	0	0	0
ENST00000296388.9	P3H1	28	17	15	3
ENST00000285930.8	AKR1B1	0	0	0	0
ENST00000359798.8	ZNF808	6	7	4	2
ENST00000261296.6	TGDS	8	1	4	0
ENST00000299481.4	NLRP14	0	0	0	0
ENST00000240306.4	DLX4	0	0	0	0
ENST00000250693.1	ART1	0	0	0	0
ENST00000367287.4	TIMM17A	78	49	36	7
ENST00000399298.7	TMEM26	0	0	0	0
ENST00000324894.12	GTPBP3	8	9	15	5
ENST00000621654.1	EPOP	0	0	0	0
ENST00000395224.6	TBX6	0	0	0	0
ENST00000641804.1	OR2G6	0	0	0	0
ENST00000542554.5	PRRG1	1	0	0	0
ENST00000305366.7	TM4SF1	0	0	0	0
ENST00000253496.3	F12	3	1	2	1
ENST00000287842.7	NRG1	0	0	0	0
ENST00000328444.5	RNASE10	0	0	0	0
ENST00000431067.2	ORM2	0	0	0	0
ENST00000371901.3	CYP4X1	0	0	0	0
ENST00000564831.5	APOBR	7	2	2	0
ENST00000598475.1	SPANXN2	0	0	0	0
ENST00000323534.4	RAP2B	10	5	4	3
ENST00000485511.5	PPP2R5D	25	16	16	5
ENST00000601181.5	CXCL17	0	0	0	0
ENST00000299957.10	CASC4	4	2	0	0
ENST00000256441.4	MRPS36	42	16	16	3
ENST00000274565.4	SPINK7	0	0	0	0
ENST00000394232.5	SV2B	0	0	0	0
ENST00000576409.5	ATPAF1	13	6	9	2
ENST00000543796.5	RAN	495	302	257	66
ENST00000472726.2	AL139300.1	7	6	3	0
ENST00000428879.5	MMADHC	272	76	110	16
ENST00000309731.11	GRAMD2A	0	0	0	0
ENST00000351072.5	XAGE5	0	0	0	0
ENST00000396825.3	FITM2	3	0	1	0
ENST00000316219.9	LILRB5	0	0	0	0
ENST00000224337.9	BLNK	0	0	0	0
ENST00000493964.5	CFAP74	0	0	0	0
ENST00000627148.2	CGA	0	0	0	0
ENST00000531433.5	SLC24A4	0	0	0	0
ENST00000402988.5	IGSF23	0	0	0	0
ENST00000285420.8	OTUD6B	16	5	6	1
ENST00000397532.7	SLC7A7	0	0	0	0
ENST00000474629.6	PARP14	16	4	4	1
ENST00000313049.9	PTH1R	0	0	0	0
ENST00000396056.6	ZNF35	4	8	6	1
ENST00000367941.6	STX7	14	1	6	1
ENST00000487903.5	ATP11A	16	3	1	1
ENST00000609686.3	GRIN2B	0	0	0	0
ENST00000611864.4	MGAT4C	0	0	0	0
ENST00000265471.9	B3GAT3	8	5	9	0
ENST00000371325.1	FAM209B	0	0	0	0
ENST00000543824.5	PHC1	2	1	0	1
ENST00000458235.5	JAK3	1	0	0	0
ENST00000306238.3	SCGB1D1	0	0	0	0
ENST00000264156.2	MCM6	198	63	75	9
ENST00000266643.5	MARCH9	1	0	0	0
ENST00000258770.7	TBRG4	51	25	26	5
ENST00000308796.10	MUCL1	0	0	0	0
ENST00000247001.9	SUGP1	25	10	9	4
ENST00000212015.10	SIRT1	19	13	5	2
ENST00000248701.8	SPINK2	0	0	0	0
ENST00000319420.3	SHISA2	0	0	0	0
ENST00000382745.8	CLCN7	60	12	25	7
ENST00000326397.9	RWDD4	8	3	4	2
ENST00000262352.7	SLC1A1	0	0	0	0
ENST00000524377.5	NTRK1	41	14	17	5
ENST00000255559.7	SLC39A11	6	4	2	0
ENST00000221980.4	ICAM5	17	3	9	0
ENST00000361548.8	GRHL3	0	0	0	0
ENST00000254108.11	FUS	576	214	233	60
ENST00000353704.2	CREB3	3	2	2	0
ENST00000444614.7	CCDC122	0	0	0	0
ENST00000358536.8	PLXNB1	6	1	2	1
ENST00000380701.7	CCDC171	1	0	2	0
ENST00000263897.9	USE1	10	4	3	2
ENST00000360844.6	SIGLEC14	0	0	0	0
ENST00000321331.11	HIGD1A	92	30	46	6
ENST00000265379.10	COL6A5	15	3	6	1
ENST00000329992.12	ATAT1	2	2	0	0
ENST00000291890.8	NCR1	4	0	1	1
ENST00000456397.6	TM2D2	8	7	9	3
ENST00000353487.6	SPPL3	17	6	3	2
ENST00000337080.7	ZNF444	6	8	5	2
ENST00000405260.5	PASK	12	3	6	0
ENST00000319595.5	HTR1F	0	0	0	0
ENST00000286574.8	WIF1	0	0	0	0
ENST00000372263.3	PLAC9	0	0	0	0
ENST00000340344.4	NDUFV3	18	9	6	3
ENST00000409466.6	C2orf76	0	0	0	0
ENST00000322583.4	PRR18	0	0	0	0
ENST00000398718.1	DEFB113	0	0	0	0
ENST00000251108.10	CDADC1	1	0	0	0
ENST00000331264.7	GLTPD2	0	0	0	0
ENST00000564146.3	MKRN2OS	0	0	0	0
ENST00000329410.3	C16orf54	0	0	0	0
ENST00000373993.5	A1CF	0	0	0	0
ENST00000324472.8	DPY19L2	0	0	0	0
ENST00000399218.8	GAREM1	0	0	0	0
ENST00000404774.7	MMD2	0	0	0	0
ENST00000367875.1	POGK	12	2	4	1
ENST00000326925.10	NDUFAF3	30	4	4	0
ENST00000373830.4	TRNAU1AP	14	14	12	0
ENST00000171887.8	TNS1	1	0	0	0
ENST00000379011.4	C11orf91	0	0	0	0
ENST00000393114.7	C7orf49	15	7	8	2
ENST00000367330.5	TMEM9	27	12	6	1
ENST00000330062.7	IDH2	46	18	16	4
ENST00000388833.7	TSNAXIP1	0	0	0	0
ENST00000357122.8	SPAG9	62	33	24	5
ENST00000543341.6	GTF2H3	51	20	13	1
ENST00000228284.7	SART3	27	18	8	8
ENST00000560778.2	CTXND1	0	0	0	0
ENST00000400120.3	ZNF705B	0	0	0	0
ENST00000307365.3	DDIT4	10	4	1	3
ENST00000397163.7	CAPN3	0	0	0	0
ENST00000361544.10	CDC14A	6	5	8	3
ENST00000640559.1	AC009122.1	0	0	0	0
ENST00000370398.5	KCNQ5	0	2	0	0
ENST00000279907.11	UHRF1BP1L	3	7	5	0
ENST00000223129.8	RPA3	53	18	14	3
ENST00000376221.1	AADACL4	0	0	0	0
ENST00000424061.6	SLC6A12	0	0	0	0
ENST00000376770.5	FBXO44	5	2	1	0
ENST00000369484.7	CMC4	2	0	0	0
ENST00000258229.13	PCNX2	0	0	0	0
ENST00000251089.6	ANGEL1	6	5	4	3
ENST00000430069.5	TBL1XR1	74	13	21	3
ENST00000397861.6	C17orf67	0	0	0	0
ENST00000639579.1	ATG9B	1	0	0	0
ENST00000244513.10	BTN1A1	0	0	0	0
ENST00000425673.5	PLEKHG2	9	3	3	0
ENST00000335479.2	DEFB106B	0	0	0	0
ENST00000478399.5	ADPRH	0	1	0	0
ENST00000370025.8	PRPF38B	14	8	4	1
ENST00000219302.7	NME3	8	2	3	1
ENST00000305596.7	CD2BP2	29	15	10	2
ENST00000538312.5	FAM46D	0	0	0	0
ENST00000207870.7	XYLB	16	7	13	2
ENST00000450142.6	PPP1R12A	27	6	8	4
ENST00000255631.9	HSPBP1	42	23	21	7
ENST00000267068.5	N4BP2L2	5	0	2	0
ENST00000452881.5	SPATA3	0	0	0	0
ENST00000243189.11	RSRP1	17	3	8	0
ENST00000340011.9	SPAM1	0	0	0	0
ENST00000265334.8	CDKL3	1	0	0	0
ENST00000355697.6	SFXN4	17	11	2	2
ENST00000639969.1	AC233724.19	0	0	0	0
ENST00000375915.3	FAM155A	1	1	1	1
ENST00000368167.7	CD1E	0	0	0	0
ENST00000281834.3	TNFSF4	0	0	0	0
ENST00000429344.6	CACTIN	8	7	8	3
ENST00000429967.2	APLN	0	0	0	0
ENST00000320152.10	PRTFDC1	1	2	1	0
ENST00000357460.6	HOMEZ	8	2	3	0
ENST00000372141.6	NRG3	0	0	0	0
ENST00000309733.5	C4orf32	11	4	1	1
ENST00000302937.8	TSEN34	16	10	10	6
ENST00000381213.7	MIER3	7	3	3	1
ENST00000409607.3	C7orf34	0	0	0	0
ENST00000366997.8	LPGAT1	6	1	2	0
ENST00000414202.6	RIC1	6	6	3	0
ENST00000303921.2	GPR37	0	0	0	0
ENST00000360465.7	ZNF528	0	1	0	0
ENST00000393708.3	FDX2	6	3	3	0
ENST00000298282.13	PKNOX2	0	0	0	0
ENST00000272418.6	MRPS5	24	35	26	7
ENST00000304330.8	RPAP1	23	7	13	3
ENST00000379458.8	MUC3A	0	0	0	0
ENST00000368143.5	TMEM244	0	0	0	0
ENST00000409900.7	CHN1	0	0	0	0
ENST00000374434.3	MYOM3	0	0	0	0
ENST00000380274.1	FAM50B	0	0	0	0
ENST00000340790.8	PALM3	0	0	0	0
ENST00000591899.7	UQCR11	51	16	19	9
ENST00000371139.8	SH2D1A	0	0	0	0
ENST00000378746.8	KIF3A	8	3	1	0
ENST00000367498.7	IVNS1ABP	25	5	5	3
ENST00000267970.8	TSPAN3	23	9	9	5
ENST00000568956.1	ZNF865	3	0	2	2
ENST00000296424.8	BDH2	5	2	0	0
ENST00000392979.7	ANO4	0	0	0	0
ENST00000562955.2	SZT2	17	10	5	2
ENST00000215368.3	EFNA2	0	0	0	0
ENST00000389879.9	CCNK	15	6	9	3
ENST00000558017.5	GDPGP1	2	0	1	0
ENST00000338891.11	FAM184A	2	1	0	0
ENST00000550804.5	CALCOCO1	5	2	2	1
ENST00000541347.5	CX3CR1	0	0	0	0
ENST00000325558.10	PGA3	0	0	0	0
ENST00000383763.5	TRIM71	0	0	0	0
ENST00000233948.3	WNT6	1	0	0	0
ENST00000361847.6	MOK	0	0	0	0
ENST00000222248.3	SLC5A5	0	0	0	0
ENST00000373095.5	FAM102A	0	0	1	0
ENST00000398130.6	KIAA1468	4	5	2	0
ENST00000409134.7	ALDH7A1	0	0	0	0
ENST00000393276.7	DENND2C	0	0	0	0
ENST00000263932.6	TNFRSF8	3	1	0	2
ENST00000334325.1	SPATA12	0	0	0	0
ENST00000397062.7	NFE2L2	31	20	18	4
ENST00000370375.7	C1orf146	0	0	0	0
ENST00000338005.6	CCDC183	0	0	0	0
ENST00000342022.8	CCDC30	0	0	0	0
ENST00000361059.7	MATR3	100	37	31	11
ENST00000296499.5	NDST3	0	0	0	0
ENST00000391418.3	KRTAP2-3	0	0	0	0
ENST00000374171.4	POLE3	24	7	15	3
ENST00000637698.1	RP1	0	0	0	0
ENST00000615863.1	CCL4	0	0	0	0
ENST00000371431.7	AKAP14	0	0	0	0
ENST00000406070.6	PSG7	0	0	0	0
ENST00000374403.3	KIF4A	17	10	15	6
ENST00000382826.2	KRTAP20-3	0	0	0	0
ENST00000373631.7	CRB2	0	0	0	0
ENST00000558480.6	RASGRF1	0	0	1	0
ENST00000366697.6	TRIM17	0	0	0	0
ENST00000600128.5	FBN3	0	0	0	0
ENST00000280871.8	SLC2A13	2	3	0	0
ENST00000316436.3	LSMEM2	0	0	0	0
ENST00000228928.11	OAS3	0	0	0	0
ENST00000263867.8	CAPG	10	2	1	1
ENST00000377991.9	TMEM8B	1	0	0	0
ENST00000215739.12	LZTR1	23	8	8	5
ENST00000239587.9	TTLL2	0	0	0	0
ENST00000283684.8	ATP8B1	0	0	0	0
ENST00000238682.7	TGFB3	0	0	0	0
ENST00000424957.7	MEPE	0	0	0	0
ENST00000396356.7	SOX6	1	0	0	0
ENST00000395366.2	PPP1CB	59	33	30	5
ENST00000307503.3	AGXT	0	0	0	0
ENST00000255882.10	PI4KA	96	44	46	7
ENST00000613397.4	BIRC2	9	4	6	0
ENST00000448903.6	AP2A2	17	7	5	3
ENST00000355451.7	NUDCD3	23	12	7	2
ENST00000368563.6	TUBGCP2	37	9	13	2
ENST00000379705.7	TRPC4	0	0	0	0
ENST00000332624.7	TRAK2	1	0	4	0
ENST00000355526.8	DPF1	1	0	2	0
ENST00000271526.8	PRCC	17	19	15	4
ENST00000568449.5	EME2	0	1	0	0
ENST00000450456.2	GJE1	0	0	0	0
ENST00000216044.9	GTPBP1	19	6	8	4
ENST00000354190.9	PLEKHB1	0	0	0	0
ENST00000303177.7	HGNC:24955	0	0	0	0
ENST00000641256.1	OR1C1	0	0	0	0
ENST00000361937.7	INO80	8	8	3	1
ENST00000373116.5	MRPS15	38	22	21	8
ENST00000578189.1	NBPF19	0	0	1	0
ENST00000406384.5	RMDN2	1	0	1	0
ENST00000370693.5	BAG2	23	13	9	4
ENST00000395074.6	LPXN	0	0	1	0
ENST00000337777.7	PLS1	9	1	0	3
ENST00000616640.1	RPP38	19	7	11	3
ENST00000483273.2	UQCRHL	132	48	52	14
ENST00000578681.5	DDX42	40	28	30	8
ENST00000247194.8	L3HYPDH	10	3	6	3
ENST00000347077.8	ZNF546	4	1	1	0
ENST00000440890.6	BMPR1B	0	0	0	0
ENST00000398604.2	PCDHGA8	1	0	0	0
ENST00000310045.7	DSEL	0	0	0	0
ENST00000394249.7	PRC1	61	31	27	6
ENST00000375071.3	CDA	0	0	0	0
ENST00000400198.7	ARGLU1	7	5	12	0
ENST00000388948.7	LRRK1	0	0	0	0
ENST00000392552.6	GPR155	0	0	0	0
ENST00000306072.9	ISG20	0	1	0	0
ENST00000428135.7	SNX13	2	4	4	0
ENST00000231136.3	PCDHB6	0	0	0	0
ENST00000614701.4	PTPRQ	0	0	0	0
ENST00000327619.9	EYA2	0	0	0	0
ENST00000366933.4	SPATA17	0	0	0	0
