	# reads	% reads	fragment length	sample
0	4	0.000315869687960232	12	undepleted_1
1	6	0.00047380453194034803	13	undepleted_1
2	39	0.003079729457612262	14	undepleted_1
3	72	0.005685654383284176	15	undepleted_1
4	256	0.020215660029454848	16	undepleted_1
5	1501	0.11853010040707707	17	undepleted_1
6	6891	0.5441645049334897	18	undepleted_1
7	17820	1.4071994598628337	19	undepleted_1
8	82101	6.483304312805752	20	undepleted_1
9	262777	20.750822248281473	21	undepleted_1
10	139576	11.021956891684336	22	undepleted_1
11	44033	3.477172492488224	23	undepleted_1
12	19444	1.5354425531746878	24	undepleted_1
13	26962	2.1291196316959438	25	undepleted_1
14	68039	5.3728644247815565	26	undepleted_1
15	122553	9.677694467147578	27	undepleted_1
16	150443	11.880095866450295	28	undepleted_1
17	174945	13.814955640050696	29	undepleted_1
18	100266	7.917747533255156	30	undepleted_1
19	33044	2.6093994922394765	31	undepleted_1
20	8708	0.6876483106894251	32	undepleted_1
21	4138	0.32676719219486	33	undepleted_1
22	1731	0.1366926074647904	34	undepleted_1
23	551	0.04351104951652196	35	undepleted_1
24	155	0.01223995040845899	36	undepleted_1
25	150	0.0118451132985087	37	undepleted_1
26	78	0.006159458915224524	38	undepleted_1
27	34	0.002684892347661972	39	undepleted_1
28	28	0.002211087815721624	40	undepleted_1
0	3	0.0002608863526870425	12	undepleted_2
1	2	0.000173924235124695	13	undepleted_2
2	53	0.004608992230804417	14	undepleted_2
3	68	0.005913423994239629	15	undepleted_2
4	199	0.01730546139490715	16	undepleted_2
5	1168	0.10157175331282187	17	undepleted_2
6	6615	0.5752544076749286	18	undepleted_2
7	15714	1.3665227153747284	19	undepleted_2
8	66002	5.739673683350059	20	undepleted_2
9	227390	19.774315912502196	21	undepleted_2
10	132419	11.515436645488492	22	undepleted_2
11	42867	3.72780509354515	23	undepleted_2
12	19056	1.6571501122680938	24	undepleted_2
13	25515	2.2188384296032964	25	undepleted_2
14	63873	5.5545313350598216	26	undepleted_2
15	112089	9.747496795445969	27	undepleted_2
16	139233	12.107996514558328	28	undepleted_2
17	159602	13.879327887185784	29	undepleted_2
18	93321	8.11539177303583	30	undepleted_2
19	30389	2.642691790602178	31	undepleted_2
20	8047	0.6997841600242103	32	undepleted_2
21	3797	0.3301951603842334	33	undepleted_2
22	1647	0.14322660762518633	34	undepleted_2
