tx_id	gene_name	undepleted	oligo_depletion
ENST00000408979.2	OR2A2	0	0
ENST00000216962.8	PYGB	71	533
ENST00000274498.8	ARHGAP26	8	102
ENST00000025301.3	AKAP11	45	337
ENST00000438911.6	CYHR1	12	62
ENST00000611517.4	TMEM222	32	216
ENST00000370873.8	PSMA7	269	1637
ENST00000542353.5	CLEC4C	0	0
ENST00000294489.10	PDPN	30	149
ENST00000383738.6	CSPG5	7	48
ENST00000288014.6	THTPA	5	46
ENST00000329021.9	NFAM1	0	0
ENST00000379238.5	UBAP2	69	530
ENST00000317633.13	SERF1A	5	61
ENST00000261700.7	C14orf166	170	1015
ENST00000377733.3	HIST1H2BI	171	1258
ENST00000288532.10	COQ5	23	180
ENST00000314124.11	TMEM40	0	0
ENST00000375105.7	PLA2G2D	0	0
ENST00000023064.8	SLC7A9	0	0
ENST00000621441.4	EXOC5	40	264
ENST00000219789.10	CDIPT	47	234
ENST00000261854.9	SPPL2A	17	149
ENST00000337665.8	ARHGEF1	47	233
ENST00000367547.7	SHCBP1L	0	0
ENST00000421999.7	CMSS1	64	359
ENST00000336498.7	ARHGAP10	16	85
ENST00000413687.2	INAVA	1	6
ENST00000390666.3	TSSK1B	0	0
ENST00000291416.9	TRIM62	4	33
ENST00000641726.1	OR52E4	0	0
ENST00000395422.3	CHCHD2	661	4462
ENST00000312239.9	HP1BP3	124	736
ENST00000264335.12	YWHAE	1228	7337
ENST00000366523.5	EFCAB2	5	14
ENST00000359644.7	ATP2C1	29	206
ENST00000309958.7	KLK10	0	0
ENST00000328449.5	C1QTNF8	0	0
ENST00000396355.5	NDE1	26	189
ENST00000334897.4	KRTAP6-2	0	0
ENST00000374987.3	APEX2	49	296
ENST00000241305.3	CPXM2	0	0
ENST00000357495.3	HNRNPA1L2	659	4221
ENST00000360608.9	CYP2D6	0	0
ENST00000328434.7	COA3	95	579
ENST00000225983.10	HDAC5	6	53
ENST00000538771.5	PAFAH1B3	73	410
ENST00000313552.10	ING5	16	149
ENST00000261037.7	COL8A1	1	1
ENST00000361320.4	LRRTM3	0	0
ENST00000296388.9	P3H1	64	349
ENST00000285930.8	AKR1B1	416	2370
ENST00000359798.8	ZNF808	1	7
ENST00000261296.6	TGDS	27	151
ENST00000299481.4	NLRP14	1	1
ENST00000240306.4	DLX4	1	1
ENST00000250693.1	ART1	0	0
ENST00000367287.4	TIMM17A	156	937
ENST00000399298.7	TMEM26	0	0
ENST00000324894.12	GTPBP3	149	994
ENST00000621654.1	EPOP	4	36
ENST00000395224.6	TBX6	0	1
ENST00000641804.1	OR2G6	0	0
ENST00000542554.5	PRRG1	4	28
ENST00000305366.7	TM4SF1	0	0
ENST00000253496.3	F12	7	45
ENST00000287842.7	NRG1	0	1
ENST00000328444.5	RNASE10	0	0
ENST00000431067.2	ORM2	0	0
ENST00000371901.3	CYP4X1	1	4
ENST00000564831.5	APOBR	0	2
ENST00000598475.1	SPANXN2	0	0
ENST00000323534.4	RAP2B	20	120
ENST00000485511.5	PPP2R5D	83	532
ENST00000601181.5	CXCL17	0	0
ENST00000299957.10	CASC4	12	66
ENST00000256441.4	MRPS36	46	298
ENST00000274565.4	SPINK7	0	0
ENST00000394232.5	SV2B	0	0
ENST00000576409.5	ATPAF1	82	593
ENST00000543796.5	RAN	1171	7708
ENST00000472726.2	AL139300.1	44	288
ENST00000428879.5	MMADHC	149	956
ENST00000309731.11	GRAMD2A	0	0
ENST00000351072.5	XAGE5	0	0
ENST00000396825.3	FITM2	16	80
ENST00000316219.9	LILRB5	1	0
ENST00000224337.9	BLNK	0	0
ENST00000493964.5	CFAP74	0	3
ENST00000627148.2	CGA	2	3
ENST00000531433.5	SLC24A4	1	5
ENST00000402988.5	IGSF23	0	0
ENST00000285420.8	OTUD6B	23	188
ENST00000397532.7	SLC7A7	0	2
ENST00000474629.6	PARP14	0	0
ENST00000313049.9	PTH1R	0	1
ENST00000396056.6	ZNF35	7	40
ENST00000367941.6	STX7	26	141
ENST00000487903.5	ATP11A	6	38
ENST00000609686.3	GRIN2B	0	0
ENST00000611864.4	MGAT4C	0	0
ENST00000265471.9	B3GAT3	21	174
ENST00000371325.1	FAM209B	0	0
ENST00000543824.5	PHC1	8	88
ENST00000458235.5	JAK3	1	10
ENST00000306238.3	SCGB1D1	0	0
ENST00000264156.2	MCM6	328	2032
ENST00000266643.5	MARCH9	1	18
ENST00000258770.7	TBRG4	114	761
ENST00000308796.10	MUCL1	0	0
ENST00000247001.9	SUGP1	33	171
ENST00000212015.10	SIRT1	62	362
ENST00000248701.8	SPINK2	0	5
ENST00000319420.3	SHISA2	2	8
ENST00000382745.8	CLCN7	29	221
ENST00000326397.9	RWDD4	19	84
ENST00000262352.7	SLC1A1	0	19
ENST00000524377.5	NTRK1	0	1
ENST00000255559.7	SLC39A11	8	48
ENST00000221980.4	ICAM5	4	4
ENST00000361548.8	GRHL3	0	1
ENST00000254108.11	FUS	1138	7206
ENST00000447404.6	STRBP	40	239
ENST00000353704.2	CREB3	21	116
ENST00000444614.7	CCDC122	2	10
ENST00000358536.8	PLXNB1	0	8
ENST00000380701.7	CCDC171	5	21
ENST00000263897.9	USE1	28	132
ENST00000360844.6	SIGLEC14	0	0
ENST00000321331.11	HIGD1A	84	565
ENST00000265379.10	COL6A5	0	0
ENST00000329992.12	ATAT1	6	40
ENST00000291890.8	NCR1	0	0
ENST00000456397.6	TM2D2	38	244
ENST00000533473.1	EBLN2	0	0
ENST00000353487.6	SPPL3	22	126
ENST00000337080.7	ZNF444	42	207
ENST00000405260.5	PASK	18	144
ENST00000319595.5	HTR1F	0	0
ENST00000286574.8	WIF1	2	9
ENST00000372263.3	PLAC9	0	1
ENST00000340344.4	NDUFV3	40	332
ENST00000409466.6	C2orf76	5	46
ENST00000322583.4	PRR18	0	0
ENST00000398718.1	DEFB113	0	0
ENST00000251108.10	CDADC1	3	29
ENST00000331264.7	GLTPD2	0	1
ENST00000564146.3	MKRN2OS	0	0
ENST00000329410.3	C16orf54	0	0
ENST00000373993.5	A1CF	0	0
ENST00000324472.8	DPY19L2	4	20
ENST00000399218.8	GAREM1	11	76
ENST00000404774.7	MMD2	0	0
ENST00000367875.1	POGK	56	337
ENST00000326925.10	NDUFAF3	222	1376
ENST00000373830.4	TRNAU1AP	32	220
ENST00000171887.8	TNS1	1	10
ENST00000379011.4	C11orf91	0	0
ENST00000393114.7	C7orf49	34	212
ENST00000367330.5	TMEM9	33	286
ENST00000330062.7	IDH2	70	458
ENST00000388833.7	TSNAXIP1	0	4
ENST00000357122.8	SPAG9	114	655
ENST00000543341.6	GTF2H3	48	304
ENST00000228284.7	SART3	97	548
ENST00000560778.2	CTXND1	0	0
ENST00000400120.3	ZNF705B	0	0
ENST00000307365.3	DDIT4	54	329
ENST00000397163.7	CAPN3	0	1
ENST00000361544.10	CDC14A	14	108
ENST00000640559.1	AC009122.1	0	1
ENST00000370398.5	KCNQ5	5	35
ENST00000279907.11	UHRF1BP1L	16	143
ENST00000223129.8	RPA3	116	621
ENST00000376221.1	AADACL4	0	0
ENST00000424061.6	SLC6A12	0	3
ENST00000376770.5	FBXO44	16	86
ENST00000369484.7	CMC4	6	22
ENST00000258229.13	PCNX2	4	15
ENST00000251089.6	ANGEL1	26	203
ENST00000430069.5	TBL1XR1	26	212
ENST00000397861.6	C17orf67	0	0
ENST00000639579.1	ATG9B	0	1
ENST00000244513.10	BTN1A1	0	1
ENST00000425673.5	PLEKHG2	11	61
ENST00000335479.2	DEFB106B	0	0
ENST00000478399.5	ADPRH	0	1
ENST00000370025.8	PRPF38B	112	699
ENST00000219302.7	NME3	36	187
ENST00000305596.7	CD2BP2	104	584
ENST00000207870.7	XYLB	27	175
ENST00000450142.6	PPP1R12A	49	392
ENST00000255631.9	HSPBP1	122	584
ENST00000267068.5	N4BP2L2	28	195
ENST00000452881.5	SPATA3	0	1
ENST00000243189.11	RSRP1	9	37
ENST00000340011.9	SPAM1	0	0
ENST00000265334.8	CDKL3	0	7
ENST00000355697.6	SFXN4	47	346
ENST00000639969.1	AC233724.19	0	0
ENST00000375915.3	FAM155A	0	2
ENST00000368167.7	CD1E	0	0
ENST00000281834.3	TNFSF4	0	0
ENST00000429344.6	CACTIN	20	160
ENST00000429967.2	APLN	1	0
ENST00000320152.10	PRTFDC1	15	126
ENST00000357460.6	HOMEZ	13	101
ENST00000372141.6	NRG3	0	2
ENST00000309733.5	C4orf32	9	50
ENST00000302937.8	TSEN34	91	672
ENST00000381213.7	MIER3	22	145
ENST00000409607.3	C7orf34	0	0
ENST00000366997.8	LPGAT1	17	88
ENST00000414202.6	RIC1	14	108
ENST00000303921.2	GPR37	1	19
ENST00000360465.7	ZNF528	1	2
ENST00000393708.3	FDX2	28	128
ENST00000298282.13	PKNOX2	6	27
ENST00000272418.6	MRPS5	92	516
ENST00000304330.8	RPAP1	36	246
ENST00000379458.8	MUC3A	1	5
ENST00000368143.5	TMEM244	0	0
ENST00000409900.7	CHN1	8	54
ENST00000374434.3	MYOM3	0	1
ENST00000380274.1	FAM50B	15	69
ENST00000340790.8	PALM3	3	12
ENST00000591899.7	UQCR11	83	640
ENST00000371139.8	SH2D1A	0	0
ENST00000378746.8	KIF3A	45	297
ENST00000367498.7	IVNS1ABP	39	255
ENST00000267970.8	TSPAN3	137	831
ENST00000568956.1	ZNF865	14	49
ENST00000296424.8	BDH2	30	220
ENST00000392979.7	ANO4	3	11
ENST00000562955.2	SZT2	11	73
ENST00000215368.3	EFNA2	0	2
ENST00000389879.9	CCNK	38	284
ENST00000558017.5	GDPGP1	16	68
ENST00000338891.11	FAM184A	4	40
ENST00000550804.5	CALCOCO1	23	181
ENST00000541347.5	CX3CR1	0	1
ENST00000325558.10	PGA3	0	0
ENST00000233948.3	WNT6	0	1
ENST00000361847.6	MOK	8	54
ENST00000222248.3	SLC5A5	1	7
ENST00000373095.5	FAM102A	1	8
ENST00000398130.6	KIAA1468	34	186
ENST00000409134.7	ALDH7A1	139	1058
ENST00000393276.7	DENND2C	4	23
ENST00000263932.6	TNFRSF8	2	1
ENST00000334325.1	SPATA12	0	0
ENST00000397062.7	NFE2L2	45	328
ENST00000370375.7	C1orf146	0	0
ENST00000338005.6	CCDC183	1	6
ENST00000342022.8	CCDC30	0	0
ENST00000361059.7	MATR3	227	1479
ENST00000296499.5	NDST3	0	0
ENST00000391418.3	KRTAP2-3	0	0
ENST00000374171.4	POLE3	88	542
ENST00000637698.1	RP1	0	0
ENST00000615863.1	CCL4	0	0
ENST00000371431.7	AKAP14	0	0
ENST00000406070.6	PSG7	0	0
ENST00000374403.3	KIF4A	78	560
ENST00000382826.2	KRTAP20-3	0	0
ENST00000373631.7	CRB2	0	0
ENST00000558480.6	RASGRF1	0	1
ENST00000366697.6	TRIM17	0	1
ENST00000600128.5	FBN3	1	5
ENST00000280871.8	SLC2A13	12	62
ENST00000316436.3	LSMEM2	0	0
ENST00000228928.11	OAS3	3	14
ENST00000263867.8	CAPG	12	42
ENST00000377991.9	TMEM8B	1	8
ENST00000215739.12	LZTR1	41	190
ENST00000239587.9	TTLL2	0	0
ENST00000283684.8	ATP8B1	1	1
ENST00000238682.7	TGFB3	1	0
ENST00000424957.7	MEPE	0	0
ENST00000396356.7	SOX6	1	7
ENST00000395366.2	PPP1CB	167	1099
