tx_id	gene_name	undepleted_1	undepleted_2	ribozero_p	ribozero_p_o	ribozero_p_f	ribozero_p_of	qiagen_fastselect_1	qiagen_fastselect_2	ribopools_1	ribopools_2	ribopools_no_heat_1	ribopools_no_heat_2
ENST00000408979.2	OR2A2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000216962.8	PYGB	36	46	85	0	3	5	99	127	114	122	233	209
ENST00000274498.8	ARHGAP26	0	0	0	0	0	0	2	3	1	4	2	4
ENST00000025301.3	AKAP11	67	77	104	15	2	13	157	217	140	222	372	383
ENST00000438911.6	CYHR1	10	6	12	6	0	0	26	34	31	35	71	64
ENST00000611517.4	TMEM222	60	30	55	2	7	7	110	114	99	133	266	244
ENST00000370873.8	PSMA7	330	312	482	55	31	41	754	876	689	927	1771	1729
ENST00000542353.5	CLEC4C	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000294489.10	PDPN	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000383738.6	CSPG5	4	5	0	0	0	0	3	10	6	13	26	19
ENST00000288014.6	THTPA	3	3	0	0	0	0	6	4	1	6	5	11
ENST00000329021.9	NFAM1	0	0	0	0	0	0	0	0	0	1	0	0
ENST00000379238.5	UBAP2	102	82	130	10	8	6	207	228	178	254	443	447
ENST00000317633.13	SERF1A	4	2	1	4	3	2	3	7	3	3	9	8
ENST00000392886.6	CSH2	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000261700.7	C14orf166	121	86	308	8	8	27	271	334	252	306	661	647
ENST00000377733.3	HIST1H2BI	215	190	329	35	16	15	410	513	384	495	859	887
ENST00000288532.10	COQ5	47	37	59	0	0	8	95	135	77	103	216	196
ENST00000314124.11	TMEM40	0	1	0	0	0	0	0	0	0	0	0	0
ENST00000375105.7	PLA2G2D	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000023064.8	SLC7A9	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000621441.4	EXOC5	41	44	27	16	8	10	81	102	77	87	239	199
ENST00000219789.10	CDIPT	30	14	64	0	0	2	50	67	39	58	112	97
ENST00000261854.9	SPPL2A	79	94	95	23	15	15	205	222	194	241	440	406
ENST00000337665.8	ARHGEF1	127	145	269	52	10	34	339	382	275	335	713	721
ENST00000367547.7	SHCBP1L	0	0	3	0	0	0	0	0	0	0	1	0
ENST00000421999.7	CMSS1	50	42	78	8	1	5	118	145	109	151	256	278
ENST00000336498.7	ARHGAP10	0	0	0	0	0	0	1	2	1	1	0	0
ENST00000413687.2	INAVA	0	0	0	0	0	0	0	1	1	1	0	0
ENST00000390666.3	TSSK1B	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000291416.9	TRIM62	2	5	9	0	0	0	14	7	6	11	18	24
ENST00000641726.1	OR52E4	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000395422.3	CHCHD2	968	847	1580	145	106	166	2158	2545	1979	2542	5081	5119
ENST00000312239.9	HP1BP3	137	126	240	15	19	7	307	370	289	346	764	748
ENST00000264335.12	YWHAE	586	544	1049	96	60	106	1290	1456	1147	1500	2790	2890
ENST00000366523.5	EFCAB2	12	15	24	0	0	10	23	29	26	25	70	53
